propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
3431;5650;0-100;101-200;301-400;0-100;>400;101-200;101-200;0-100;0-100;>400;0-100;201-300;0-100;201-300;0-100;101-200;201-300;0-100;101-200;101-200;201-300;101-200;301-400;101-200;>400;101-200;101-200;101-200;101-200;201-300;101-200;>400;201-300;>400;101-200;201-300;101-200;201-300;>400;301-400;>400;101-200;>400;101-200;201-300;101-200;>400;101-200;101-200;201-300;>400;>400;201-300;>400;>400;>400;101-200;>400;>400;101-200;101-200;>400;>400;>400;101-200;
3432;5650;101-200;201-300;201-300;0-100;>400;101-200;101-200;>400;>400;>400;101-200;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;101-200;>400;>400;101-200;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;301-400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3433;5650;0-100;101-200;201-300;0-100;101-200;>400;0-100;0-100;>400;>400;201-300;101-200;>400;201-300;>400;>400;201-300;0-100;>400;0-100;>400;101-200;201-300;201-300;301-400;201-300;0-100;>400;>400;>400;0-100;>400;0-100;101-200;101-200;>400;>400;>400;>400;0-100;>400;0-100;>400;0-100;>400;301-400;>400;>400;>400;301-400;0-100;0-100;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3434;5668;101-200;101-200;101-200;101-200;>400;201-300;101-200;101-200;>400;>400;101-200;101-200;>400;>400;>400;>400;201-300;301-400;>400;101-200;201-300;101-200;201-300;101-200;>400;201-300;101-200;301-400;301-400;>400;>400;>400;>400;101-200;301-400;>400;201-300;201-300;201-300;>400;201-300;>400;>400;>400;101-200;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3435;5690;201-300;201-300;>400;301-400;201-300;>400;>400;>400;0-100;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3436;5690;301-400;0-100;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3437;5690;101-200;101-200;201-300;101-200;101-200;>400;0-100;101-200;>400;>400;101-200;0-100;101-200;0-100;101-200;101-200;0-100;0-100;101-200;201-300;101-200;0-100;101-200;201-300;101-200;101-200;>400;0-100;101-200;>400;>400;101-200;101-200;0-100;201-300;>400;>400;0-100;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;301-400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3438;5690;101-200;101-200;101-200;101-200;201-300;201-300;101-200;301-400;201-300;>400;101-200;301-400;101-200;101-200;101-200;>400;>400;101-200;201-300;201-300;101-200;201-300;201-300;>400;201-300;201-300;101-200;301-400;101-200;201-300;101-200;>400;>400;201-300;201-300;301-400;>400;101-200;>400;301-400;301-400;201-300;>400;101-200;201-300;101-200;>400;301-400;201-300;>400;101-200;301-400;201-300;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;201-300;201-300;
3439;5699;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3440;5699;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3441;5700;201-300;201-300;101-200;101-200;201-300;>400;101-200;101-200;>400;>400;0-100;101-200;101-200;101-200;0-100;201-300;101-200;101-200;201-300;101-200;101-200;0-100;101-200;101-200;201-300;201-300;>400;0-100;201-300;>400;301-400;201-300;101-200;101-200;301-400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3442;5700;301-400;101-200;201-300;201-300;201-300;>400;201-300;201-300;201-300;>400;301-400;301-400;>400;301-400;>400;>400;301-400;201-300;>400;301-400;>400;301-400;301-400;>400;>400;>400;301-400;>400;>400;>400;201-300;>400;301-400;301-400;201-300;>400;>400;301-400;>400;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3443;5700;0-100;301-400;101-200;0-100;101-200;0-100;0-100;0-100;301-400;>400;0-100;0-100;101-200;0-100;0-100;>400;0-100;0-100;201-300;101-200;>400;0-100;101-200;0-100;0-100;0-100;0-100;101-200;0-100;>400;0-100;0-100;0-100;0-100;101-200;0-100;0-100;0-100;201-300;0-100;101-200;0-100;101-200;0-100;0-100;>400;301-400;>400;0-100;301-400;301-400;>400;201-300;201-300;>400;>400;0-100;>400;>400;0-100;>400;0-100;>400;>400;301-400;
3444;5700;301-400;0-100;301-400;301-400;>400;>400;301-400;>400;>400;>400;301-400;301-400;301-400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;301-400;301-400;301-400;>400;301-400;301-400;>400;>400;>400;301-400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3445;5700;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3446;5700;101-200;301-400;301-400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3447;5700;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3448;5700;0-100;101-200;101-200;101-200;>400;101-200;101-200;>400;101-200;>400;201-300;101-200;201-300;101-200;101-200;>400;301-400;301-400;201-300;201-300;101-200;>400;301-400;>400;101-200;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;101-200;201-300;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;301-400;>400;>400;>400;>400;>400;
3449;5700;101-200;201-300;101-200;201-300;>400;201-300;>400;301-400;>400;>400;301-400;>400;201-300;>400;101-200;>400;>400;101-200;>400;101-200;301-400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;201-300;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3450;5700;201-300;0-100;201-300;101-200;>400;301-400;201-300;201-300;201-300;>400;301-400;201-300;301-400;101-200;201-300;301-400;101-200;201-300;201-300;201-300;>400;201-300;>400;201-300;201-300;201-300;201-300;>400;>400;>400;201-300;>400;201-300;201-300;101-200;>400;>400;201-300;301-400;201-300;>400;201-300;>400;201-300;>400;>400;>400;>400;201-300;201-300;301-400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3451;5700;301-400;101-200;201-300;301-400;>400;301-400;301-400;201-300;>400;>400;301-400;201-300;>400;301-400;301-400;>400;>400;301-400;301-400;301-400;0-100;301-400;201-300;>400;301-400;>400;0-100;201-300;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;101-200;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;
3452;5700;101-200;201-300;201-300;101-200;101-200;>400;301-400;201-300;201-300;>400;>400;201-300;>400;101-200;201-300;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3453;5700;201-300;0-100;201-300;201-300;201-300;201-300;101-200;101-200;101-200;>400;201-300;201-300;201-300;101-200;101-200;>400;101-200;201-300;>400;101-200;201-300;101-200;201-300;101-200;201-300;201-300;201-300;101-200;201-300;>400;101-200;201-300;201-300;201-300;>400;101-200;201-300;101-200;301-400;201-300;301-400;201-300;301-400;201-300;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;201-300;>400;>400;>400;
3454;5700;201-300;>400;0-100;101-200;>400;101-200;201-300;201-300;>400;201-300;101-200;201-300;201-300;>400;201-300;>400;>400;101-200;201-300;>400;>400;201-300;>400;0-100;0-100;201-300;>400;0-100;201-300;>400;201-300;201-300;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;201-300;>400;>400;>400;
3455;5700;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3456;5700;101-200;301-400;301-400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3457;5705;101-200;101-200;301-400;301-400;101-200;301-400;101-200;301-400;301-400;>400;301-400;301-400;301-400;301-400;301-400;>400;301-400;301-400;>400;>400;>400;301-400;201-300;301-400;301-400;301-400;201-300;>400;301-400;>400;301-400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;
3458;5705;201-300;101-200;101-200;201-300;0-100;>400;201-300;>400;>400;>400;>400;201-300;201-300;301-400;201-300;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3459;5705;201-300;101-200;101-200;101-200;0-100;201-300;301-400;201-300;>400;>400;301-400;101-200;0-100;301-400;201-300;>400;301-400;>400;201-300;301-400;201-300;301-400;201-300;>400;301-400;>400;101-200;201-300;>400;>400;>400;>400;201-300;>400;301-400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;
3460;5705;101-200;101-200;301-400;301-400;101-200;301-400;101-200;301-400;301-400;>400;301-400;301-400;301-400;301-400;301-400;>400;301-400;301-400;>400;>400;>400;301-400;201-300;301-400;301-400;301-400;201-300;>400;301-400;>400;301-400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;
3461;5710;201-300;101-200;201-300;201-300;101-200;>400;201-300;201-300;>400;>400;101-200;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;101-200;>400;>400;101-200;>400;101-200;301-400;>400;301-400;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3462;5724;201-300;101-200;>400;>400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3463;5738;201-300;101-200;301-400;201-300;301-400;201-300;101-200;>400;201-300;>400;301-400;301-400;301-400;201-300;>400;301-400;301-400;>400;>400;>400;301-400;>400;101-200;>400;0-100;>400;101-200;>400;201-300;>400;101-200;>400;>400;301-400;101-200;201-300;301-400;201-300;>400;>400;301-400;>400;301-400;>400;301-400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;
3464;5740;101-200;0-100;101-200;101-200;>400;201-300;101-200;201-300;301-400;>400;201-300;101-200;201-300;201-300;101-200;301-400;301-400;101-200;301-400;301-400;201-300;101-200;101-200;101-200;201-300;201-300;201-300;>400;201-300;>400;>400;201-300;301-400;201-300;201-300;>400;301-400;>400;>400;>400;201-300;>400;201-300;101-200;>400;301-400;201-300;>400;101-200;>400;301-400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;201-300;301-400;>400;201-300;>400;
3465;5750;0-100;101-200;201-300;101-200;301-400;301-400;201-300;>400;101-200;>400;>400;201-300;301-400;301-400;101-200;301-400;301-400;>400;>400;201-300;301-400;101-200;>400;>400;201-300;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3466;5750;0-100;0-100;0-100;0-100;>400;>400;0-100;201-300;101-200;>400;0-100;201-300;0-100;0-100;201-300;>400;0-100;301-400;201-300;0-100;>400;201-300;0-100;>400;0-100;>400;301-400;101-200;>400;301-400;201-300;>400;101-200;201-300;>400;201-300;>400;0-100;>400;>400;>400;0-100;>400;201-300;301-400;301-400;>400;>400;101-200;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;
3467;5750;201-300;101-200;201-300;201-300;>400;301-400;201-300;>400;201-300;>400;301-400;101-200;201-300;301-400;201-300;>400;301-400;>400;301-400;301-400;301-400;>400;>400;>400;201-300;>400;301-400;301-400;>400;>400;>400;301-400;101-200;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;201-300;301-400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3468;5750;201-300;201-300;301-400;201-300;301-400;>400;201-300;301-400;201-300;>400;201-300;201-300;201-300;>400;>400;>400;301-400;201-300;201-300;301-400;>400;201-300;201-300;301-400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;201-300;>400;>400;>400;>400;
3469;5750;0-100;0-100;0-100;0-100;101-200;201-300;0-100;201-300;201-300;>400;101-200;101-200;101-200;101-200;101-200;101-200;>400;301-400;0-100;0-100;>400;>400;201-300;>400;301-400;301-400;>400;0-100;101-200;>400;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;101-200;201-300;>400;>400;>400;201-300;201-300;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;201-300;>400;
3470;5750;0-100;0-100;0-100;0-100;>400;>400;0-100;201-300;101-200;>400;0-100;201-300;0-100;0-100;201-300;>400;0-100;301-400;201-300;0-100;>400;201-300;0-100;>400;0-100;>400;301-400;101-200;>400;301-400;201-300;>400;101-200;201-300;>400;201-300;>400;0-100;>400;>400;>400;0-100;>400;201-300;301-400;301-400;>400;>400;101-200;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;
3471;5750;0-100;201-300;301-400;>400;201-300;101-200;>400;101-200;>400;>400;0-100;201-300;301-400;>400;101-200;>400;201-300;0-100;101-200;301-400;301-400;101-200;201-300;101-200;101-200;101-200;101-200;301-400;101-200;>400;201-300;201-300;201-300;301-400;0-100;201-300;201-300;201-300;101-200;201-300;101-200;101-200;201-300;201-300;101-200;>400;301-400;>400;201-300;101-200;>400;>400;>400;101-200;201-300;>400;101-200;201-300;>400;201-300;>400;201-300;301-400;301-400;101-200;
3472;5750;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3473;5770;301-400;101-200;>400;301-400;201-300;>400;>400;>400;0-100;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3474;5780;101-200;301-400;>400;0-100;0-100;>400;>400;201-300;>400;>400;>400;>400;>400;0-100;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;
3475;5780;101-200;0-100;101-200;201-300;201-300;201-300;101-200;201-300;201-300;>400;101-200;201-300;201-300;301-400;301-400;>400;201-300;101-200;201-300;101-200;>400;101-200;201-300;>400;301-400;>400;>400;101-200;0-100;>400;>400;>400;101-200;201-300;301-400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;301-400;0-100;201-300;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
3476;5785;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3477;5790;301-400;0-100;201-300;301-400;>400;301-400;301-400;301-400;>400;>400;301-400;301-400;>400;301-400;301-400;301-400;301-400;>400;301-400;301-400;>400;201-300;201-300;201-300;301-400;>400;301-400;201-300;301-400;301-400;>400;>400;>400;301-400;201-300;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3478;5790;201-300;101-200;>400;101-200;201-300;201-300;201-300;201-300;>400;>400;201-300;201-300;301-400;201-300;201-300;>400;301-400;201-300;201-300;301-400;201-300;201-300;>400;201-300;201-300;201-300;201-300;>400;>400;>400;301-400;301-400;301-400;>400;201-300;301-400;301-400;301-400;201-300;301-400;201-300;201-300;>400;301-400;201-300;>400;301-400;>400;>400;201-300;>400;>400;201-300;201-300;201-300;>400;301-400;201-300;>400;>400;>400;>400;301-400;301-400;201-300;
3479;5799;0-100;201-300;201-300;0-100;201-300;>400;0-100;101-200;301-400;>400;201-300;101-200;>400;101-200;301-400;>400;101-200;0-100;>400;0-100;>400;101-200;201-300;201-300;>400;201-300;0-100;>400;>400;>400;0-100;>400;0-100;101-200;0-100;>400;>400;>400;>400;0-100;>400;0-100;>400;0-100;>400;>400;>400;>400;>400;>400;101-200;0-100;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3480;5800;0-100;101-200;0-100;101-200;>400;101-200;0-100;>400;0-100;>400;101-200;0-100;0-100;101-200;0-100;>400;0-100;0-100;101-200;0-100;>400;101-200;101-200;>400;301-400;>400;>400;0-100;101-200;>400;>400;>400;201-300;301-400;301-400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;301-400;101-200;101-200;0-100;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;0-100;>400;>400;>400;>400;>400;
3481;5800;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
